"","locality_id","longitude","latitude","OBJECTID","PASITES_ID","NAME","TYPE","SUBTYPE","STATUS","SOURCE","IUCN","OC_NO","ACRES","HECTARES","OC_DATE","DATE_EST","OC_NAME","NOTES","GlobalID","Shape_STAr","Shape_STLe","coords.x1","coords.x2","optional"
"480","L4407401",-113.6140823,53.4807932,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-113.6140823,53.4807932,TRUE
"481","L6012373",-113.5832061,53.3073329,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-113.5832061,53.3073329,TRUE
"482","L4171050",-112.8289206,49.678263,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-112.8289206,49.678263,TRUE
"483","L381176",-113.9975,49.0247222,"433",5189,"Waterton Lakes","NP",NA,"OC","41","II",NA,123216.57513335,49863.97884245,NA,"1895/12/31","Waterton Lakes National Park of Canada",NA,"{EE793A4D-C5DC-4C3D-AFAE-8506F6CA69E5}",498639788.585,144112.951557,-113.9975,49.0247222,TRUE
"484","L487040",-115.019474,51.0518083,"463",1005,"Bow Valley","PP",NA,"OC","41","II","OC 424/2002",8020.86321792,3245.92818266,"2002/09/04","1959/07/27","Bow Valley Provincial Park","Includes all or part of the following former Provincial Recreation Areas:  Bow River, Gap Lake, Grotto Mountain, Lac Des Arcs, Three Sisters, Old Camp, all first established 1982.","{06265F70-FF67-4C6B-AACD-4541FC98A6A6}",32459281.8293,98277.5099576,-115.019474,51.0518083,TRUE
"485","L3242567",-114.4770724,51.1999368,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-114.4770724,51.1999368,TRUE
"486","L1535266",-114.1434401,51.0699584,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-114.1434401,51.0699584,TRUE
"487","L2175932",-113.8886547,50.5811111,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-113.8886547,50.5811111,TRUE
"488","L1291722",-117.1252441,58.5137829,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-117.1252441,58.5137829,TRUE
"489","L1304813",-113.69133,50.5461629,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-113.69133,50.5461629,TRUE
"490","L1658518",-112.1310997,51.4979502,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-112.1310997,51.4979502,TRUE
"491","L365161",-112.9145279,50.553478,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-112.9145279,50.553478,TRUE
"492","L1306710",-113.8438511,50.5779499,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-113.8438511,50.5779499,TRUE
"493","L1290052",-118.0980492,52.8940435,"436",5256,"Jasper","NP",NA,"OC","41","II",NA,2775661.31325855,1123270.28119676,NA,"1907/12/31","Jasper National Park of Canada",NA,"{3301ED3E-F396-4217-AB49-FFC5EE59E63F}",11232702812,838629.98006,-118.0980492,52.8940435,TRUE
"494","L1080133",-117.4444914,56.1873171,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-117.4444914,56.1873171,TRUE
"495","L2364445",-114.0913868,51.0103526,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-114.0913868,51.0103526,TRUE
"496","L1470943",-115.0925032,51.1045988,"464",1077,"Bow Valley Wildland","WPP",NA,"OC","41","II","OC 268/2010",92190.26027514,37308.07468772,"2010/09/10","1998/12/09","Bow Valley Wildland Provincial Park","Includes all or part of the following former Natural Areas:  Bow Valley (est. 1995), Canmore Flats (est. 1990), Bow Flats (est. 1990), Yamnuska (est. 1997), Wind Valley (est. 1995).","{87991B32-952D-41CE-BAE2-5AB92D0DC66C}",373080746.872,294718.624009,-115.0925032,51.1045988,TRUE
"497","L2852352",-111.442008,56.7411921,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-111.442008,56.7411921,TRUE
"498","L2593092",-114.5821667,50.9388517,"371",1006,"Bragg Creek","PP",NA,"OC","41","II","OC 601/88",317.94488481,128.6677299,"1988/10/20","1960/01/19","Bragg Creek Provincial Park",NA,"{C1FD5923-CD3D-49F5-9732-753EF9FCC250}",1286677.29907,7368.94135646,-114.5821667,50.9388517,TRUE
"499","L2588910",-114.0624028,50.9272946,"234",1019,"Fish Creek","PP",NA,"OC","41","II","OC 598/2003",3356.92715729,1358.5002226,"2003/12/17","1975/06/10","Fish Creek Provincial Park",NA,"{A99A5796-CB4C-419C-AF94-FAD02010AB86}",13585002.2222,59944.4090404,-114.0624028,50.9272946,TRUE
"500","L3655880",-115.4068816,51.07214,"460",1078,"Canmore Nordic Centre","PP",NA,"OC","41","NR","OC 426/2002",1621.49328185,656.19505015,"2002/09/04","1990/08/23","Canmore Nordic Centre Provincial Park","Reclassed from PRA to Provincial Park (OC 526/1998) - site boundary amended. Part of the PRA incorporated in Bow Valley Wildland.","{889106A3-6EBD-442C-A10B-5A613804B242}",6561950.51172,43125.850764,-115.4068816,51.07214,TRUE
