"","locality_id","TYPE"
"397","L4131210","out"
"398","L387140","out"
"399","L1172342","out"
"400","L1172430","nat"
"401","L777510","out"
"402","L3654926","out"
"403","L3488506","prov"
"404","L4157588","out"
"405","L1172879","prov"
"406","L1483665","nat"
"407","L4458732","out"
"408","L1004452","prov"
"409","L4404792","out"
"410","L2174334","out"
"411","L2291909","nat"
"412","L601247","out"
"413","L1302485","out"
"414","L4543653","prov"
"415","L3902702","out"
"416","L4254108","out"
"417","L2104992","nat"
"418","L1596969","out"
"419","L1189981","out"
"420","L1546095","out"
"421","L3597690","out"
"422","L2601979","prov"
"423","L1319730","out"
"424","L1208250","out"
"425","L3562088","out"
"426","L1302727","out"
"427","L1302777","out"
"428","L4523600","out"
"429","L4065866","prov"
"430","L1453708","nat"
"431","L2421426","out"
"432","L2328038","nat"
"433","L1170708","out"
"434","L1302746","out"
"435","L1169054","out"
"436","L4731546","out"
"437","L1695529","out"
"438","L3588305","out"
"439","L1173225","out"
"440","L2188240","out"
"441","L1515994","prov"
"442","L1989232","out"
"443","L1160649","out"
"444","L1138850","out"
"445","L2600991","out"
"446","L1302473","out"
"447","L3376674","out"
"448","L1456867","nat"
"449","L4487244","out"
"450","L5105034","out"
"451","L1468658","nat"
"452","L1159971","out"
"453","L3597763","out"
"454","L1195001","nat"
"455","L4967602","out"
"456","L3073861","nat"
"457","L589266","out"
"458","L4458748","out"
"459","L3516292","out"
"460","L463096","nat"
"461","L2365578","prov"
"462","L1305965","out"
"463","L463091","nat"
"464","L2844004","prov"
"465","L4797573","prov"
"466","L2795455","out"
"467","L4964456","out"
"468","L3982060","out"
"469","L2101615","out"
"470","L1124106","out"
"471","L2427962","out"
"472","L3487340","out"
"473","L1306706","out"
"474","L283046","out"
"475","L1020160","nat"
"476","L249609","out"
"477","L2465278","out"
"478","L1302864","out"
"479","L4375015","out"
"480","L4407401","out"
"481","L6012373","out"
"482","L4171050","out"
"483","L381176","nat"
"484","L487040","prov"
"485","L3242567","out"
"486","L1535266","out"
"487","L2175932","out"
"488","L1291722","out"
"489","L1304813","out"
"490","L1658518","out"
"491","L365161","out"
"492","L1306710","out"
"493","L1290052","nat"
"494","L1080133","out"
"495","L2364445","out"
"496","L1470943","prov"
"497","L2852352","out"
"498","L2593092","prov"
"499","L2588910","prov"
"500","L3655880","prov"
"501","L7939230","out"
"502","L2087596","out"
"503","L4796776","prov"
"504","L2546181","nat"
"505","L2528031","prov"
"506","L4731977","out"
"507","L6182398","out"
"508","L2547256","nat"
"509","L3000839","out"
"510","L2523394","out"
"511","L1594810","out"
"512","L4656114","out"
"513","L3584796","out"
"514","L7516338","out"
"515","L4656137","out"
"516","L6346131","out"
"517","L1513441","out"
"518","L1020150","out"
"519","L1827825","out"
"520","L3840342","prov"
"521","L1626051","out"
"522","L3119861","out"
"523","L1547942","out"
"524","L4465958","out"
"525","L2344648","out"
"526","L2711858","prov"
"527","L1374628","out"
"528","L1640801","out"
"529","L1595372","out"
"530","L4150954","out"
"531","L4090116","out"
"532","L1612522","out"
"533","L4466628","prov"
"534","L4731526","out"
"535","L3785377","out"
"536","L1514676","out"
"537","L4460909","out"
"538","L2528021","prov"
"539","L385448","prov"
"540","L4616800","out"
"541","L1604537","prov"
"542","L4798169","out"
"543","L1553313","out"
"544","L1396869","out"
"545","L3893019","prov"
"546","L1626047","prov"
"547","L2305834","out"
"548","L1455612","nat"
"549","L377691","out"
"550","L6352483","out"
"551","L4034172","out"
"552","L1625079","prov"
"553","L4613366","out"
"554","L4442270","out"
"555","L4067027","out"
"556","L1833601","out"
"557","L1626139","out"
"558","L1474411","nat"
"559","L3301813","out"
"560","L1604529","out"
"561","L601255","out"
"562","L1481803","nat"
"563","L3653399","out"
"564","L5760169","nat"
"565","L1536956","out"
"566","L2343428","out"
"567","L1547919","out"
"568","L1513149","out"
"569","L1477063","nat"
"570","L4964479","out"
"571","L522764","out"
"572","L4987878","prov"
"573","L3613580","out"
"574","L3571653","nat"
"575","L5070459","out"
"576","L797185","out"
"577","L2117004","out"
"578","L421278","out"
"579","L3936310","prov"
"580","L3328414","out"
"581","L4465869","out"
"582","L2588929","out"
"583","L4757850","out"
"584","L7417450","out"
"585","L4602433","prov"
"586","L4920555","prov"
"587","L1835189","out"
"588","L1454556","nat"
"589","L1462758","nat"
"590","L9196224","out"
"591","L3219879","nat"
"592","L1376450","out"
"593","L4582399","out"
"594","L2475187","out"
"595","L8891183","prov"
"596","L4487228","out"
"597","L4142794","out"
"598","L621083","out"
"599","L3672130","out"
"600","L2870441","out"
"601","L3219888","nat"
"602","L1094633","out"
"603","L1374618","out"
"604","L1484372","out"
"605","L3914783","nat"
"606","L2174536","out"
"607","L4465884","out"
"608","L4466037","out"
"609","L1477850","nat"
"610","L1481799","nat"
"611","L2330413","out"
"612","L989438","nat"
"613","L2189975","out"
"614","L2526782","out"
"615","L4689812","prov"
"616","L2305643","prov"
"617","L4474852","prov"
"618","L2967861","out"
"619","L463095","nat"
"620","L2252556","out"
"621","L8077432","nat"
"622","L3993701","prov"
"623","L603925","out"
"624","L2253482","out"
"625","L3581090","out"
"626","L5516593","out"
"627","L4562364","out"
"628","L2526480","out"
"629","L2307870","out"
"630","L2213238","out"
"631","L2301398","prov"
"632","L4670542","out"
"633","L2871348","out"
"634","L2378468","out"
"635","L2526167","prov"
"636","L2167794","out"
"637","L3375525","out"
"638","L4977616","out"
"639","L2167809","out"
"640","L4458786","out"
"641","L372964","out"
"642","L5760178","nat"
"643","L3103863","prov"
"644","L2081640","out"
"645","L4051320","out"
"646","L3404962","out"
"647","L2268328","out"
"648","L9282210","prov"
"649","L2175661","out"
"650","L2362995","out"
"651","L3562643","out"
"652","L4656111","out"
"653","L4465897","out"
"654","L2474499","out"
"655","L1089266","out"
"656","L3584931","out"
"657","L4687159","out"
"658","L2990842","out"
"659","L3385174","out"
"660","L2568676","out"
"661","L3084292","nat"
"662","L4760593","out"
"663","L2114677","out"
"664","L4466609","out"
"665","L2268610","out"
"666","L2423969","out"
"667","L4009800","out"
"668","L1457804","nat"
"669","L3655865","out"
"670","L2602023","out"
"671","L2478115","out"
"672","L3584549","prov"
"673","L4135367","out"
"674","L524791","out"
"675","L6436618","prov"
"676","L2860121","out"
"677","L2364449","out"
"678","L4753559","prov"
"679","L2582706","out"
"680","L6324362","out"
"681","L4435039","out"
"682","L4159161","out"
"683","L4582404","out"
"684","L5944680","out"
"685","L3889156","out"
"686","L6591464","out"
"687","L3814781","prov"
"688","L4640234","out"
"689","L4468946","out"
"690","L4125251","out"
"691","L4234130","out"
"692","L4958802","out"
"693","L4466023","prov"
"694","L3087622","nat"
"695","L2338367","nat"
"696","L4464647","out"
"697","L10021404","out"
"698","L3784084","out"
"699","L3854543","out"
"700","L2484149","out"
"701","L2714195","out"
"702","L4458709","out"
"703","L3508301","out"
"704","L4818970","nat"
"705","L1472683","out"
"706","L4382091","out"
"707","L1454931","nat"
"708","L3368416","out"
"709","L4457072","prov"
"710","L6125708","out"
"711","L4234064","prov"
"712","L2565698","out"
"713","L2526376","out"
"714","L7467503","out"
"715","L3061754","nat"
"716","L2682221","out"
"717","L2946834","out"
"718","L3094241","out"
"719","L2951042","out"
"720","L2795478","out"
"721","L3090398","out"
"722","L2344664","prov"
"723","L2565176","out"
"724","L3061740","nat"
"725","L1986291","out"
"726","L4434776","out"
"727","L4002494","out"
"728","L4316196","prov"
"729","L3015799","prov"
"730","L3464085","out"
"731","L2805866","out"
"732","L3097987","out"
"733","L3078132","nat"
"734","L2891993","out"
"735","L3025951","nat"
"736","L2793119","prov"
"737","L4487207","out"
"738","L2952737","out"
"739","L2833609","out"
"740","L9365448","out"
"741","L3089074","out"
"742","L1100900","prov"
"743","L4382219","out"
"744","L3302399","out"
"745","L2518249","out"
"746","L2871774","out"
"747","L2587255","out"
"748","L4457075","prov"
"749","L2859728","out"
"750","L4840421","out"
"751","L3121575","prov"
"752","L632068","prov"
"753","L3121609","out"
"754","L2677947","out"
"755","L2565593","out"
"756","L2902157","nat"
"757","L3099931","nat"
"758","L4774533","out"
"759","L3291984","out"
"760","L3641539","out"
"761","L4655488","out"
"762","L3242568","out"
"763","L1451643","nat"
"764","L2897115","out"
"765","L2915048","out"
"766","L4553443","prov"
"767","L4943953","out"
"768","L1477079","nat"
"769","L2952119","prov"
"770","L7314944","prov"
"771","L2691862","prov"
"772","L2216667","out"
"773","L4455448","out"
"774","L2894289","prov"
"775","L2910105","out"
"776","L2945178","prov"
"777","L3331231","nat"
"778","L2950513","prov"
"779","L3096913","out"
"780","L4465995","out"
"781","L4320864","out"
"782","L4483844","out"
"783","L2987742","out"
"784","L4190027","prov"
"785","L6528352","out"
"786","L463093","nat"
"787","L3027297","out"
"788","L2700796","out"
"789","L3760226","nat"
"790","L4766532","out"
"791","L2812614","out"
"792","L2565785","out"
"793","L2439068","out"
"794","L2999206","out"
"795","L3218450","out"
"796","L6265696","out"
"797","L3108679","out"
"798","L4505590","out"
"799","L3967067","out"
"800","L4217622","out"
"801","L4640802","nat"
"802","L3929953","prov"
"803","L486981","out"
"804","L368471","out"
"805","L2892181","out"
"806","L3480111","out"
"807","L2598337","out"
"808","L3040871","out"
"809","L4411544","out"
"810","L3866118","out"
"811","L4045868","prov"
"812","L8935416","out"
"813","L3953208","out"
"814","L6976696","out"
"815","L4731733","out"
