locality_id,longitude,latitude
L346168,-111.9159973,59.9997425
L449808,-113.9411616,51.0360374
L356532,-113.7738957,50.3455588
L365659,-115.3815079,51.1266907
L3850381,-115.2050561,51.0668712
L4064271,-114.029181,49.1293831
L442152,-116.498251,51.7167131
L739138,-113.8488722,49.110512
L785676,-111.9458771,50.4124558
L3072967,-117.6387906,52.7165129
L2082982,-113.6168075,53.5830794
L1836444,-114.5409675,54.3620818
L470565,-113.9082952,49.0520628
L365657,-115.1617384,51.0595771
L1547965,-112.1980946,51.3691699
L299451,-114.4325753,50.8204703
L519679,-119.1233826,55.2215821
L672891,-119.1044998,55.0625429
L989311,-113.0129845,51.8358608
L629608,-113.1540298,53.3130316
L1182024,-116.8324542,55.6368747
L1462730,-113.8400877,49.1108448
L1466232,-112.0704314,49.7149733
L1550553,-114.1212401,50.9856366
L4585790,-117.1426678,53.5609086
L2334781,-116.6218472,51.8429899
L2465725,-114.1322717,51.0765837
L803361,-117.1169808,52.1898095
L1483681,-116.242413,51.4062717
L1864061,-118.0911238,52.92447
L522722,-118.3161449,55.2276525
L5901083,-113.916458,49.0515594
L1507985,-114.1035748,50.9296561
L608721,-113.4563255,53.5571868
L868214,-113.6111641,52.3906873
L4737322,-113.9510707,49.0977994
L288685,-114.0733731,50.9300618
L957432,-118.0209732,52.8218527
L710829,-118.7692451,55.3181571
L4657112,-110.1856895,49.6788427
L207055,-113.5900667,53.658656
L1544665,-116.2439132,51.4162712
L3840322,-115.0579986,51.083153
L3754466,-114.1740847,53.4937325
L1664680,-114.01474,51.0311391
L351692,-117.64117,52.72885
L5626574,-113.4503249,49.7177926
L1,-114.5731638,50.6594867
L5384518,-117.9955268,52.9195047
L817614,-113.6896133,53.9020626
L739303,-115.6846619,51.1537242
L4954999,-114.6035033,49.6722546
L519678,-119.1199493,55.2544684
L457482,-112.5741577,53.3718593
L2453818,-110.7145607,50.0422994
L3584784,-110.7269955,54.2470909
L809958,-110.0336552,54.4382526
L710824,-118.7657261,55.3386643
L367431,-113.5533142,53.4757873
L466955,-118.7436676,55.1194715
L1568351,-114.0527899,51.1313863
L1663163,-113.5365981,53.5333718
L367694,-114.1940077,50.2008736
L345519,-112.53756,53.44341
L524324,-119.4316864,55.1910205
L685328,-114.5029966,50.9880246
L524983,-118.5963821,55.3494507
L3887760,-118.0701542,52.8646419
L1770816,-112.8703734,49.4043063
L3124013,-115.574584,51.1445982
L386129,-112.1044922,50.4452621
L249610,-115.1853805,51.052159
L2337060,-111.8083911,50.53764
L351683,-110.89082,53.36849
L5712206,-113.9765722,50.7036933
L675622,-112.8333664,53.6769849
L2578680,-113.5529709,51.3025013
L345992,-114.22019,51.09815
L3331211,-118.040431,52.910712
L1480688,-115.9264173,51.2663972
L4458717,-113.4031266,49.72553
L2081912,-117.8842449,52.6654001
L381632,-114.7954559,50.8627443
L600767,-114.3545437,49.6086521
L1131197,-114.3438303,53.3413308
L3951441,-113.9224935,49.0346606
L2463483,-114.0617967,50.8895531
L382083,-114.1288733,51.0523883
L1437200,-115.7789543,51.0746763
L2428792,-113.5340881,50.4528044
L2894179,-111.3772058,56.7078155
L457479,-112.9206562,53.4164894
L152963,-114.1705998,51.0729832
L713464,-118.8119459,55.0675562
L3504729,-114.5374747,51.0903134
L4771587,-115.5713432,51.1712512
L163257,-115.58523,51.182087
L2474241,-114.2788786,50.6739185
L1470298,-117.2285128,52.2196444
L1152366,-118.0592537,52.8850845
L1292756,-115.9200096,51.2687892
L1472690,-115.0643089,51.0960556
L3125893,-116.2266827,51.3998482
L365648,-114.6164936,51.4555379
L4465890,-113.467388,50.8517896
L1972442,-114.0766867,52.5725797
L2547231,-116.7597274,51.9733171
L3536054,-114.6927595,51.131957
L2377650,-113.3927786,51.0969733
L9102265,-114.0539225,51.1482556
L672894,-119.2998505,55.2278483
L4465913,-113.051603,50.8662181
L5905284,-115.1517493,51.0477912
L3901914,-114.41423,49.31833
L351690,-117.93676,52.90344
L2286235,-114.9424839,51.0540204
L989283,-114.0443087,51.0453603
L1144299,-112.7799797,49.8841278
L4383149,-112.880702,49.6699332
L4458723,-113.9366549,49.4856059
L1438303,-112.9615576,51.9357074
L387126,-113.7947154,52.2851773
L624078,-115.7179642,51.1788049
L4643540,-115.3557667,51.0897987
L2549478,-111.6515207,50.4518724
L4834146,-113.5897064,51.2314515
L1172327,-113.8446236,53.7271856
L1612883,-112.6727729,49.4095994
L4465933,-112.9509209,51.2996488
L630497,-118.3071327,55.2212884
L306684,-117.7744064,52.8629496
L2606571,-114.1087675,49.4134861
L3073841,-118.0447912,52.6812216
L1477091,-118.026397,52.9305291
L2445494,-113.5459864,50.9783583
L502770,-113.7389231,50.1264662
L1000491,-113.346988,54.6171016
L1023235,-114.7346878,53.5548925
L1641837,-111.9280268,53.7149154
L863811,-112.2589874,49.379690600000004
L4137217,-114.9717595,52.3616361
L2310114,-110.6386757,54.2680312
L923233,-111.8950653,50.5939444
L857476,-113.4064123,53.5591912
L4973681,-112.7571956,49.6957789
L1336141,-112.7593689,49.6991422
L1626295,-113.6547655,53.6130314
L903263,-113.5594511,53.4910074
L1565414,-112.1346188,50.5886862
L2445512,-113.4498775,50.7189604
L889844,-113.7614107,53.585627
L2860057,-114.0644789,53.6220157
L2362988,-113.6547232,50.9823166
L4060773,-113.5314073,53.337861
L3936284,-115.10903,50.96851
L2902918,-113.6562265,51.0319167
L619868,-111.8736076,54.1518292
L3865802,-116.4186931,52.0625093
L5113323,-114.7758812,50.9184161
L909259,-114.0346527,53.7819923
L4774551,-112.4050927,59.9668768
L427237,-112.5556183,53.3519858
L163254,-115.53387,51.224293
L2362996,-113.6473138,51.008665
L898739,-113.9460929,49.4865956
L387130,-113.8093042,52.1970334
L592478,-112.8852376,51.4163699
L294463,-114.3836111,51.2497222
L901058,-112.4954724,53.8892668
L977852,-113.423624,53.4843684
L3516369,-114.5462465,53.5059668
L4541423,-113.4776813,53.4434713
L988020,-112.3767705,50.8717069
L1476139,-118.1105986,53.0586103
L3500270,-112.5863028,49.3756672
L2193019,-113.2208061,53.0063021
L581496,-114.4919586,51.2464439
L980750,-113.9749146,52.4928151
L3512486,-113.657297,53.625029
L892153,-111.957196,50.6188789
L1428807,-114.0748419,51.0830551
L2203430,-113.4074879,52.9760484
L3247817,-112.8585556,49.7389444
L980219,-114.1869164,51.7679992
L2869107,-111.5521288,56.9969971
L351689,-117.91915,53.21066
L794134,-117.7938652,53.4727733
L473224,-115.5881238,51.1971493
L785395,-112.5478935,53.3660211
L377682,-112.88763,51.5667
L2362998,-113.6668045,51.0087198
L2408209,-114.7249794,51.2096183
L4458713,-112.0866354,49.151825
L1156712,-112.5339031,53.2174949
L1782162,-116.3875255,52.2430108
L378258,-114.5845699,50.7927524
L4476839,-112.9004431,49.3246185
L459729,-116.4382553,51.6566903
L5751080,-114.1019011,53.7125584
L1861251,-114.6535951,51.3673056
L1546765,-112.9155278,49.811404
L1626031,-110.0957,49.6616557
L4476959,-115.0557807,51.0422207
L5444001,-115.1476831,50.9329951
L2465392,-113.9440155,51.1954819
L434493,-114.3644424,50.8212654
L4477108,-112.1511841,54.1025897
L993556,-112.8671665,50.22597
L5863846,-115.348098,51.1048976
L2514047,-113.5821614,50.0263285
L381463,-116.3316048,51.630131
L1172429,-117.2356916,52.2085265
L4946421,-118.0473876,52.9023017
L601261,-115.3365326,53.6377176
L351688,-118.00316,53.09568
L1525459,-114.094508,50.8967323
L2526101,-116.3993118,51.6647406
L3091544,-112.5169945,53.38297
L1626252,-113.5677777,53.2617314
L1466668,-112.9979156,49.9488446
L3239774,-113.6795028,50.9764263
L2277226,-118.264389,53.4614816
L4786892,-114.7475946,55.3555597
L880277,-114.1715527,51.0413399
L3056454,-114.9884033,52.922317
L4751684,-112.8732718,49.0934879
L4131210,-113.2564634,53.5308703
L387140,-112.86654,49.7098286
L1172342,-113.7381291,53.6102546
L1172430,-118.043453,52.6669499
L777510,-112.6586736,51.3830183
L3654926,-112.1101141,53.887901
L3488506,-114.781998,50.867767
L4157588,-114.0092254,51.130803
L1172879,-112.7677917,51.4796724
L1483665,-116.5061045,51.7164605
L4458732,-113.3017659,49.198757
L1004452,-115.3973007,51.1000726
L4404792,-115.0352857,51.0295264
L2174334,-111.5032294,56.9263134
L2291909,-116.0776806,51.4842692
L601247,-113.19166,53.47943
L1302485,-113.7026596,50.5404902
L4543653,-113.6588001,53.6113494
L3902702,-112.7175808,49.0598635
L4254108,-111.3832569,56.7389326
L2104992,-116.4784241,51.7032043
L1596969,-110.6484415,50.0362295
L1189981,-111.0279608,49.3988536
L1546095,-114.1315314,51.1379036
L3597690,-110.9487391,54.4650993
L2601979,-114.223558,52.0544417
L1319730,-113.90346,50.93736
L1208250,-117.5401926,53.4625036
L3562088,-110.5471802,54.5057352
L1302727,-113.6954927,50.5146545
L1302777,-113.7352753,50.5496534
L4523600,-110.8867988,52.8246469
L4065866,-115.1344261,50.6065929
L1453708,-118.0914689,52.893957
L2421426,-110.9457779,49.8043139
L2328038,-116.1781454,51.4256924
L1170708,-110.508728,49.6765152
L1302746,-113.6964798,50.5795306
L1169054,-111.1857605,56.4809798
L4731546,-113.5244966,50.5342381
L1695529,-113.2625306,50.9555207
L3588305,-113.6432219,49.1028141
L1173225,-114.4556794,52.0574189
L2188240,-111.4399052,49.3906418
L1515994,-115.1461441,50.918617
L1989232,-114.4648361,53.4643432
L1160649,-111.8279953,51.458217
L1138850,-112.7987552,49.689686
L2600991,-113.8765807,50.5785248
L1302473,-113.8514471,50.5781407
L3376674,-112.170964,49.8122625
L1456867,-115.4886704,51.2363771
L4487244,-110.7893313,50.0771546
L5105034,-111.2061063,51.2465877
L1468658,-115.8653782,51.2546379
L1159971,-112.3298836,49.1567868
L3597763,-110.7959819,54.4797129
L1195001,-116.7251587,51.935827
L4967602,-112.8078305,49.662596
L3073861,-118.0638456,52.8387581
L589266,-112.4409485,53.4541225
L4458748,-112.6621932,49.4654762
L3516292,-113.6533928,53.6380357
L463096,-118.277607,52.7196584
L2365578,-110.7559204,52.119577
L1305965,-113.7652731,50.7697151
L463091,-118.0825567,52.8008674
L2844004,-114.3929154,51.1686108
L4797573,-110.6164026,52.5983558
L2795455,-113.7719936,51.9675804
L4964456,-110.6969338,50.8495834
L3982060,-112.50961,53.352224
L2101615,-113.6738205,50.5984938
L1124106,-114.2419472,51.0960772
L2427962,-113.3959436,51.1350663
L3487340,-113.9528017,52.0202538
L1306706,-113.9230943,50.5257872
L283046,-113.6063066,51.3221198
L1020160,-114.0582561,49.0529453
L249609,-114.6070106,51.1007995
L2465278,-113.6312807,50.7456888
L1302864,-111.8182468,50.0612164
L4375015,-110.6844315,50.0228286
L4407401,-113.6140823,53.4807932
L6012373,-113.5832061,53.3073329
L4171050,-112.8289206,49.678263
L381176,-113.9975,49.0247222
L487040,-115.019474,51.0518083
L3242567,-114.4770724,51.1999368
L1535266,-114.1434401,51.0699584
L2175932,-113.8886547,50.5811111
L1291722,-117.1252441,58.5137829
L1304813,-113.69133,50.5461629
L1658518,-112.1310997,51.4979502
L365161,-112.9145279,50.553478
L1306710,-113.8438511,50.5779499
L1290052,-118.0980492,52.8940435
L1080133,-117.4444914,56.1873171
L2364445,-114.0913868,51.0103526
L1470943,-115.0925032,51.1045988
L2852352,-111.442008,56.7411921
L2593092,-114.5821667,50.9388517
L2588910,-114.0624028,50.9272946
L3655880,-115.4068816,51.07214
L7939230,-110.5948787,52.7485697
L2087596,-114.1612101,50.8755819
L4796776,-114.6891814,50.9013684
L2546181,-115.9443996,51.2821203
L2528031,-115.1554298,50.6276866
L4731977,-114.2445745,50.4191761
L6182398,-110.7286541,50.0354996
L2547256,-116.9723086,52.1101442
L3000839,-113.3819103,53.5627439
L2523394,-114.0686417,53.0317167
L1594810,-114.5408776,51.2826655
L4656114,-111.8291903,50.615625
L3584796,-110.7220253,54.2521397
L7516338,-113.8644724,50.9305375
L4656137,-111.3539886,50.5635585
L6346131,-113.5350323,54.1473302
L1513441,-113.6797385,50.5848824
L1020150,-113.8585291,49.2618657
L1827825,-113.3073691,53.6384522
L3840342,-115.1135445,51.0748008
L1626051,-110.8007609,50.0531444
L3119861,-114.0013395,51.0246016
L1547942,-114.1861402,51.0099632
L4465958,-110.356164,50.1634292
L2344648,-111.4861679,50.3704305
L2711858,-114.5218706,50.2087893
L1374628,-112.704897,52.3213018
L1640801,-113.4590958,53.5411213
L1595372,-110.1716091,54.641269200000004
L4150954,-113.9875853,50.8630016
L4090116,-114.3649077,49.5807513
L1612522,-117.568388,53.4017544
L4466628,-111.6128258,50.8400227
L4731526,-110.0378823,50.1259985
L3785377,-114.0929634,50.8884616
L1514676,-113.7765867,50.5389723
L4460909,-114.2310219,50.5324863
L2528021,-115.1307964,50.6346553
L385448,-114.6516037,50.3811593
L4616800,-112.2872686,50.3683502
L1604537,-110.257007,49.6670623
L4798169,-110.9086561,52.8390173
L1553313,-113.8545381,50.5846709
L1396869,-112.8563773,49.7221762
L3893019,-115.1121631,50.6188075
L1626047,-110.2287604,49.6184748
L2305834,-111.0755968,49.2111494
L1455612,-115.5837149,51.1732908
L377691,-114.7048187,51.5135234
L6352483,-113.4369037,53.4970789
L4034172,-114.2191149,51.1002309
L1625079,-113.9805257,52.459945
L4613366,-110.3736198,49.5323392
L4442270,-111.8717623,51.4461975
L4067027,-114.00002,51.0311391
L1833601,-113.57244,53.502373
L1626139,-115.3132094,51.0769476
L1474411,-116.0392085,51.239273
L3301813,-112.8491378,49.7524363
L1604529,-111.1134106,49.564276
L601255,-110.0302166,50.966332800000004
L1481803,-116.245399,51.4371564
L3653399,-113.3038473,53.5554329
L5760169,-115.4880474,51.1980368
L1536956,-113.8704372,51.1542113
L2343428,-113.9232559,51.0828147
L1547919,-112.5291807,51.5833882
L1513149,-113.8603575,50.5930548
L1477063,-117.0935175,52.2128408
L4964479,-110.2959226,50.9004252
L522764,-118.2801819,55.8845547
L4987878,-115.0207181,50.6352591
L3613580,-113.472125,53.513028
L3571653,-118.0447951,52.8813309
L5070459,-113.7827122,52.3026183
L797185,-110.5202293,53.3348196
L2117004,-110.4059243,49.9316104
L421278,-112.0693392,50.5002574
L3936310,-114.98474,50.60375
L3328414,-113.639338,53.6315945
L4465869,-113.9947341,51.0273005
L2588929,-114.3770367,51.2762986
L4757850,-114.0157753,51.0116936
L7417450,-115.3735766,51.0775435
L4602433,-115.1482522,50.8732936
L4920555,-118.5828638,53.9030483
L1835189,-113.5479951,53.5844508
L1454556,-113.8616056,49.0791612
L1462758,-113.7982905,49.0825441
L9196224,-113.4291232,50.6289316
L3219879,-113.9677638,49.0783708
L1376450,-112.9703709,52.5840998
L4582399,-111.4407353,49.4777798
L2475187,-113.8071243,51.0573965
L8891183,-114.7174966,50.8744625
L4487228,-112.6424206,50.3504214
L4142794,-113.7077075,53.3603551
L621083,-112.0134258,49.2376078
L3672130,-112.8694716,51.5378574
L2870441,-111.5906346,57.0014121
L3219888,-113.8890409,49.063238
L1094633,-113.3583069,53.4791587
L1374618,-112.7138075,52.3253699
L1484372,-110.492318,49.8783961
L3914783,-113.9048338,49.0612133
L2174536,-110.0284195,54.8034554
L4465884,-113.7791944,50.9148202
L4466037,-113.5352432,51.385031
L1477850,-117.1613964,52.21294
L1481799,-115.7257746,51.1866882
L2330413,-116.9004536,55.7143478
L989438,-114.0564537,49.0173825
L2189975,-111.5819925,57.1807524
L2526782,-114.0060309,50.8927102
L4689812,-112.779749,53.5371513
L2305643,-113.4625053,49.0069722
L4474852,-114.6521683,50.6467546
L2967861,-112.7801514,51.8370504
L463095,-118.24085,52.7256107
L2252556,-112.0873207,51.1247178
L8077432,-112.8732562,53.6160224
L3993701,-114.5479196,50.6434779
L603925,-114.7735262,52.9527232
L2253482,-113.5731518,53.5036058
L3581090,-112.9730934,53.3618705
L5516593,-114.0182886,51.006307
L4562364,-114.2467725,51.1082345
L2526480,-111.6406631,50.5433266
L2307870,-114.4863367,51.6770793
L2213238,-111.7364931,49.7534899
L2301398,-117.2476494,52.8947814
L4670542,-114.4734782,50.6429498
L2871348,-114.3767738,49.5696339
L2378468,-113.9584565,53.6259608
L2526167,-111.6581753,54.772954
L2167794,-111.4462566,56.7633562
L3375525,-111.8682861,53.6655951
L4977616,-114.0948694,51.017287
L2167809,-111.5637669,56.9895908
L4458786,-113.1252766,49.3636506
L372964,-112.3249483,51.0110968
L5760178,-115.496182,51.2281729
L3103863,-110.0228405,52.5794932
L2081640,-111.3510704,49.4234806
L4051320,-115.9945911,55.5001829
L3404962,-113.686223,50.7559524
L2268328,-118.5766002,56.2226664
L9282210,-114.0309648,49.5399259
L2175661,-111.4605796,56.9132605
L2362995,-113.6328149,50.9352683
L3562643,-112.1079254,53.831865
L4656111,-111.8851304,50.604214
L4465897,-113.2636541,50.4029659
L2474499,-113.8643646,50.5739164
L1089266,-111.2784576,53.951742
L3584931,-110.7370806,54.2608376
L4687159,-112.6466846,49.4832099
L2990842,-112.4601746,50.3842242
L3385174,-110.9382248,54.5186902
L2568676,-113.9865661,50.8687776
L3084292,-111.9978797,58.8432558
L4760593,-114.4496146,50.6434329
L2114677,-112.2506618,53.859614
L4466609,-111.9014711,50.9142097
L2268610,-118.6053576,55.922642
L2423969,-110.6742696,50.0184968
L4009800,-113.9245534,50.9277627
L1457804,-115.5240462,51.231936
L3655865,-112.9660138,53.4270558
L2602023,-113.7860166,52.2744887
L2478115,-110.7141365,50.0272747
L3584549,-110.9360576,54.264356
L4135367,-110.2138138,54.4132863
L524791,-118.5342407,55.3307068
L6436618,-115.1249785,50.6897421
L2860121,-111.3376379,56.7122792
L2364449,-114.0997124,50.9810197
L4753559,-114.6969438,50.6217055
L2582706,-113.3232598,50.7190534
L6324362,-114.245719,49.5420199
L4435039,-113.4742896,51.3077482
L4159161,-113.4775472,53.5260817
L4582404,-111.1045378,49.4775777
L5944680,-114.0256287,50.986957
L3889156,-112.668314,51.0615191
L6591464,-113.3332336,53.5121111
L3814781,-114.5030496,50.6384523
L4640234,-111.8312931,53.5049969
L4468946,-113.1717217,53.6349187
L4125251,-113.3755589,53.9466909
L4234130,-115.0022945,55.347157
L4958802,-114.919236,52.3775995
L4466023,-112.8901172,52.4630983
L3087622,-115.5622373,51.1859553
L2338367,-115.788826,51.1370949
L4464647,-113.671267,53.5005172
L10021404,-112.7299588,51.5628471
L3784084,-112.06213,51.04217
L3854543,-116.4171195,52.0424082
L2484149,-112.9817891,51.1106152
L2714195,-113.865047,52.2005866
L4458709,-112.1496123,49.7901238
L3508301,-113.3733916,53.5798946
L4818970,-113.6857282,49.0249688
L1472683,-115.1932684,50.8144487
L4382091,-113.9285472,51.0325088
L1454931,-113.8852913,49.0869747
L3368416,-115.3552142,51.0873339
L4457072,-115.1253421,50.9508959
L6125708,-113.4977925,53.525679
L4234064,-114.82481,55.4596842
L2565698,-113.8090897,50.3891495
L2526376,-114.2315912,51.1141918
L7467503,-113.6531889,50.9663028
L3061754,-111.9350517,58.4358779
L2682221,-112.7882309,49.0290376
L2946834,-117.8618431,53.3107753
L3094241,-111.9819615,54.7683763
L2951042,-111.1931205,58.7038151
L2795478,-113.4750795,51.909795
L3090398,-112.1725774,50.683965
L2344664,-112.9269218,50.2274416
L2565176,-111.9781494,50.6798726
L3061740,-111.9196022,58.315433
L1986291,-114.3956233,49.5869699
L4434776,-113.4144187,51.0942512
L4002494,-113.9421648,51.015345
L4316196,-110.0160599,54.4401619
L3015799,-115.3387548,50.8740891
L3464085,-114.1984874,51.0997761
L2805866,-114.6348238,53.195827
L3097987,-114.7461891,53.6232629
L3078132,-111.6024256,58.6352985
L2891993,-112.5109005,54.6744265
L3025951,-112.4050444,59.9668601
L2793119,-113.0551985,52.4512398
L4487207,-112.0069885,51.7218178
L2952737,-112.7802329,49.2042185
L2833609,-112.8791142,52.172142
L9365448,-113.6179761,53.6189626
L3089074,-112.7871633,51.4708064
L1100900,-113.2613182,55.1771523
L4382219,-114.234028,50.8761066
L3302399,-113.6230201,50.6050004
L2518249,-111.9814324,51.6554923
L2871774,-110.9015751,56.1957225
L2587255,-110.9757435,53.3942826
L4457075,-114.866846,51.0457877
L2859728,-113.7631702,51.9395426
L4840421,-111.8517315,50.3969948
L3121575,-116.0483694,53.35716
L632068,-118.6296844,54.5513586
L3121609,-116.0629821,53.2123038
L2677947,-113.683337,53.4883775
L2565593,-111.1613899,58.7196875
L2902157,-111.4833784,58.5968135
L3099931,-118.0895734,53.0107649
L4774533,-114.5423841,53.2635701
L3291984,-114.4980818,49.6364483
L3641539,-117.3254013,53.0312263
L4655488,-114.0301064,51.4311398
L3242568,-114.4975662,51.1806522
L1451643,-116.2213484,51.4586588
L2897115,-111.9642448,53.9046416
L2915048,-114.068749,51.9390928
L4553443,-112.2190534,52.4918287
L4943953,-110.8292413,54.2576415
L1477079,-117.7203992,52.8557622
L2952119,-119.8944855,56.3170365
L7314944,-115.3004408,51.0561784
L2691862,-117.5655475,55.1198764
L2216667,-113.1469488,54.5533871
L4455448,-111.9300802,51.6489622
L2894289,-114.703998,50.8957521
L2910105,-111.3213515,56.701673
L2945178,-115.6035224,53.6101718
L3331231,-118.1415868,52.7500791
L2950513,-114.7047611,50.6153016
L3096913,-118.7549973,55.1746983
L4465995,-114.1065031,51.795038
L4320864,-114.0413287,51.0470837
L4483844,-110.6912041,54.2764011
L2987742,-112.8879762,52.309292
L4190027,-115.0906384,51.0779622
L6528352,-113.4950995,50.9605563
L463093,-118.1030273,52.7747319
L3027297,-116.1628,55.55
L2700796,-113.6408615,52.5547992
L3760226,-113.8267091,49.1083734
L4766532,-113.658371,53.8119026
L2812614,-113.7299699,52.475331
L2565785,-113.1887054,52.0959606
L2439068,-114.0888065,51.0583633
L2999206,-113.547821,53.4532026
L3218450,-113.2790852,53.6826024
L6265696,-113.7583466,53.4078281
L3108679,-113.309319,50.8913939
L4505590,-113.8281977,50.8030531
L3967067,-115.2350378,51.053448
L4217622,-114.2326976,50.6883833
L4640802,-115.560434,51.1660409
